date,weather,weather_avccuracy,weather_kinshitu,rain,rain_non,rain_accuracy,rain_kinshitu,sun,sun_non,sun_accuracy,sun_kinshitu
2019/6/19,晴一時曇,8,1,0,1,8,1,11.6,0,8,1
2019/6/20,曇一時雨後晴,8,1,0.0,0,8,1,5.8,0,8,1
2019/6/21,曇時々晴一時雨,8,1,0.0,0,8,1,4.9,0,8,1
2019/6/22,雨時々曇,8,1,6.0,0,8,1,0.1,0,8,1
2019/6/23,曇時々雨,8,1,0.0,0,8,1,0.0,0,8,1
2019/6/24,雨後時々曇,8,1,48.0,0,8,1,0.5,0,8,1
2019/6/25,晴時々曇,8,1,0,1,8,1,6.7,0,8,1
2019/6/26,晴,8,1,0,1,8,1,12.6,0,8,1
2019/6/27,曇時々晴後雨,8,1,1.5,0,8,1,3.3,0,8,1
2019/6/28,曇一時雨,8,1,6.5,0,8,1,4.1,0,8,1
2019/6/29,雨時々曇,8,1,6.0,0,8,1,0.0,0,8,1
2019/6/30,雨時々曇,8,1,16.0,0,8,1,0.9,0,8,1
2019/7/1,雨時々曇,8,1,2.0,0,8,1,0.0,0,8,1
2019/7/2,曇時々雨,8,1,0.5,0,8,1,0.6,0,8,1
2019/7/3,曇一時晴,8,1,0.5,0,8,1,2.6,0,8,1
2019/7/4,雨時々曇,8,1,27.5,0,8,1,0.1,0,8,1
2019/7/5,曇後一時雨,8,1,6.0,0,8,1,0.6,0,8,1
2019/7/6,雨時々曇,8,1,18.5,0,8,1,0.0,0,8,1
2019/7/7,雨,8,1,14.5,0,8,1,0.0,0,8,1
2019/7/8,曇後時々晴,8,1,0,1,8,1,3.1,0,8,1
2019/7/9,曇時々雨,8,1,0.0,0,8,1,0.0,0,8,1
2019/7/10,曇後晴一時雨,8,1,0.0,0,8,1,7.5,0,8,1
2019/7/11,曇後時々雨,8,1,2.0,0,8,1,0.4,0,8,1
2019/7/12,雨後時々曇,8,1,10.0,0,8,1,0.0,0,8,1
2019/7/13,曇時々雨,8,1,1.5,0,8,1,0.6,0,8,1
2019/7/14,雨後時々曇,8,1,29.0,0,8,1,0.0,0,8,1
2019/7/15,雨時々曇,8,1,7.5,0,8,1,0.0,0,8,1
2019/7/16,雨後時々曇,8,1,33.0,0,8,1,0.0,0,8,1
2019/7/17,曇一時雨後晴,8,1,0.5,0,8,1,3.6,0,8,1
2019/7/18,曇後時々雨,8,1,7.0,0,8,1,4.2,0,8,1
2019/7/19,雨後曇時々晴,8,1,1.0,0,8,1,4.3,0,8,1
2019/7/20,雨時々曇,8,1,0.0,0,8,1,0.0,0,8,1
2019/7/21,曇後一時雨,8,1,0.0,0,8,1,0.9,0,8,1
2019/7/22,曇時々雨,8,1,0.0,0,8,1,0.0,0,8,1
2019/7/23,曇時々雨一時晴,8,1,1.0,0,8,1,3.4,0,8,1
2019/7/24,曇後晴一時雨,8,1,0.0,0,8,1,6.8,0,8,1
2019/7/25,晴一時曇後一時雨,8,1,0.0,0,8,1,8.3,0,8,1
2019/7/26,晴時々雨,8,1,1.5,0,8,1,10.2,0,8,1
2019/7/27,雨時々曇後晴,8,1,7.0,0,8,1,5.3,0,8,1
2019/7/28,曇時々雨後晴,8,1,4.5,0,8,1,5.3,0,8,1
2019/7/29,晴時々雨一時曇,8,1,0.0,0,8,1,9.5,0,8,1
2019/7/30,曇後晴,8,1,0,1,8,1,8.7,0,8,1
2019/7/31,晴,8,1,0,1,8,1,11.2,0,8,1
2019/8/1,晴,8,1,0,1,8,1,12.4,0,8,1
2019/8/2,晴時々雨,8,1,0.0,0,8,1,12.3,0,8,1
2019/8/3,晴一時雨,8,1,0.0,0,8,1,12.7,0,8,1
2019/8/4,晴一時雨,8,1,0.0,0,8,1,12.8,0,8,1
2019/8/5,晴,8,1,0,1,8,1,12.2,0,8,1
2019/8/6,晴時々曇,8,1,0,1,8,1,9.1,0,8,1
2019/8/7,晴後一時曇,8,1,0,1,8,1,9.6,0,8,1
2019/8/8,晴,8,1,0,1,8,1,12.1,0,8,1
2019/8/9,晴,8,1,0,1,8,1,11.3,0,8,1
2019/8/10,晴一時曇,8,1,0,1,8,1,8.3,0,8,1
2019/8/11,晴,8,1,0,1,8,1,11.4,0,8,1
2019/8/12,晴時々雨後曇,8,1,0.0,0,8,1,6.3,0,8,1
2019/8/13,雨後晴時々曇、雷を伴う,8,1,3.0,0,8,1,5.2,0,8,1
2019/8/14,雨時々曇後晴,8,1,6.0,0,8,1,6.3,0,8,1
2019/8/15,曇一時晴後雨,8,1,9.5,0,8,1,1.9,0,8,1
2019/8/16,曇時々雨一時晴,8,1,0.0,0,8,1,2.9,0,8,1
2019/8/17,晴,8,1,0,1,8,1,12.2,0,8,1
2019/8/18,晴後曇,8,1,0,1,8,1,8.4,0,8,1
2019/8/19,曇時々晴一時雨,8,1,0.0,0,8,1,4.0,0,8,1
2019/8/20,晴時々雨後曇、雷を伴う,8,1,0.5,0,8,1,3.7,0,8,1
2019/8/21,晴後曇一時雨,8,1,0.0,0,8,1,4.8,0,8,1
2019/8/22,曇一時雨,8,1,0.0,0,8,1,2.0,0,8,1
2019/8/23,雨時々曇、雷を伴う,8,1,5.0,0,8,1,0.0,0,8,1
2019/8/24,曇一時雨後晴,8,1,0.0,0,8,1,6.6,0,8,1
2019/8/25,晴一時曇,8,1,0.5,0,8,1,10.3,0,8,1
2019/8/26,曇時々晴一時雨、雷を伴う,8,1,26.5,0,8,1,4.0,0,8,1
2019/8/27,雨一時晴後曇,8,1,2.5,0,8,1,1.9,0,8,1
2019/8/28,雨,8,1,15.5,0,8,1,0.2,0,8,1
2019/8/29,曇時々晴,8,1,0.5,0,8,1,7.3,0,8,1
2019/8/30,雨後時々曇、雷を伴う,8,1,17.0,0,8,1,0.7,0,8,1
2019/8/31,曇一時雨後晴,8,1,0.0,0,8,1,6.6,0,8,1
2019/9/1,晴,8,1,0.0,0,8,1,8.7,0,8,1
2019/9/2,晴後一時雨,8,1,0.0,0,8,1,11.5,0,8,1
2019/9/3,曇一時晴後雨、雷を伴う,8,1,42.0,0,8,1,1.9,0,8,1
2019/9/4,曇後一時雨,8,1,0.5,0,8,1,0.2,0,8,1
2019/9/5,曇一時雨後晴,8,1,0.0,0,8,1,3.7,0,8,1
2019/9/6,晴,8,1,0,1,8,1,11.9,0,8,1
2019/9/7,晴後時々曇,8,1,0,1,8,1,7.8,0,8,1
2019/9/8,晴時々雨,8,1,20.5,0,8,1,5.7,0,8,1
2019/9/9,雨後晴時々曇,8,1,157.0,0,8,1,6.8,0,8,1
2019/9/10,晴後一時雨,8,1,0.0,0,8,1,10.7,0,8,1
2019/9/11,晴時々曇一時雨、雷を伴う,8,1,0.0,0,8,1,6.1,0,8,1
2019/9/12,曇時々晴,8,1,0.0,0,8,1,3.7,0,8,1
2019/9/13,曇,8,1,0,1,8,1,0.0,0,8,1
2019/9/14,曇時々雨,8,1,0.0,0,8,1,1.0,0,8,1
2019/9/15,晴時々曇,8,1,3.5,0,8,1,6.3,0,8,1
